DATE,RATE
2018-12-11,1.10695
2018-12-12,1.11406
2018-12-13,1.11243
2018-12-14,1.11239
2018-12-17,1.11174
2018-12-18,1.11264
2018-12-19,1.10918
2018-12-20,1.10654
2018-12-21,1.11217
2018-12-24,0
2018-12-25,0
2018-12-26,1.11115
2018-12-27,1.10647
2018-12-28,1.10957
2018-12-31,1.11409
2019-1-1,0
2019-1-2,1.10927
2019-1-3,1.10826
2019-1-4,1.11656
2019-1-7,1.1124
2019-1-8,1.11185
2019-1-9,1.1076
2019-1-10,1.10862
2019-1-11,1.11822
2019-1-14,0
2019-1-15,1.12017
2019-1-16,1.12745
2019-1-17,1.13648
2019-1-18,1.13519
2019-1-21,0
2019-1-22,1.14051
2019-1-23,1.14785
2019-1-24,1.15059
2019-1-25,1.15508
2019-1-28,1.15038
2019-1-29,1.15074
2019-1-30,1.14398
2019-1-31,1.14676
2019-2-1,1.14119
2019-2-4,1.14251
2019-2-5,1.1351
2019-2-6,1.13849
2019-2-7,1.14167
2019-2-8,1.14189
2019-2-11,1.14055
2019-2-12,1.13883
2019-2-13,1.13971
2019-2-14,1.13373
2019-2-15,1.14102
2019-2-18,0
2019-2-19,1.15078
2019-2-20,0
2019-2-21,1.15188
2019-2-22,1.15209
2019-2-25,1.15108
2019-2-26,1.16511
2019-2-27,1.17133
2019-2-28,1.16653
2019-3-1,1.16227
2019-3-4,1.16402
2019-3-5,1.16292
2019-3-6,1.16148
2019-3-7,1.16881
2019-3-8,1.15716
2019-3-11,1.16649
2019-3-12,1.16185
2019-3-13,1.16976
2019-3-14,1.17489
2019-3-15,1.17235
2019-3-18,1.16636
2019-3-19,1.16896
2019-3-20,1.162
2019-3-21,1.15069
2019-3-22,1.17169
2019-3-25,1.16593
2019-3-26,1.17154
2019-3-27,1.17262
2019-3-28,1.16483
2019-3-29,1.16067
2019-4-1,1.17252
2019-4-2,1.1653
2019-4-3,1.17248
2019-4-4,1.16548
2019-4-5,1.15985
2019-4-8,1.15859
2019-4-9,1.15694
2019-4-10,1.16279
2019-4-11,1.16036
2019-4-12,1.15764
2019-4-15,1.15932
2019-4-16,1.15549
2019-4-17,1.15393
2019-4-18,1.15675
2019-4-19,1.15623
2019-4-22,1.15322
2019-4-23,1.15429
2019-4-24,1.15681
2019-4-25,1.15808
2019-4-26,1.15923
2019-4-29,1.15744
2019-4-30,1.16329
2019-5-1,1.16406
2019-5-2,1.16524
2019-5-3,1.17459
2019-5-6,1.16933
2019-5-7,1.16765
2019-5-8,1.16134
2019-5-9,1.15898
2019-5-10,1.15968
2019-5-13,1.15394
2019-5-14,1.15294
2019-5-15,1.149
2019-5-16,1.14537
2019-5-17,1.13944
2019-5-20,1.13859
2019-5-21,1.14241
2019-5-22,1.13607
2019-5-23,1.13373
2019-5-24,1.13423
2019-5-27,0
2019-5-28,1.1334
2019-5-29,1.13425
2019-5-30,1.13276
2019-5-31,1.13194
2019-6-3,1.12627
2019-6-4,1.12807
2019-6-5,1.13023
2019-6-6,1.12564
2019-6-7,1.12504
2019-6-10,1.12139
2019-6-11,1.12443
2019-6-12,1.12228
2019-6-13,1.12443
2019-6-14,1.12338
2019-6-17,1.11865
2019-6-18,1.12067
2019-6-19,1.12582
2019-6-20,1.12549
2019-6-21,1.12138
2019-6-24,1.11718
2019-6-25,1.11725
2019-6-26,1.11475
2019-6-27,1.11449
2019-6-28,1.11693
2019-7-1,1.11825
2019-7-2,1.11486
2019-7-3,1.11468
2019-7-4,0
2019-7-5,1.11501
2019-7-8,1.11554
2019-7-9,1.11178
2019-7-10,1.11075
2019-7-11,1.11438
2019-7-12,1.11543
2019-7-15,1.11217
2019-7-16,1.10667
2019-7-17,1.10737
2019-7-18,1.11275
2019-7-19,1.11408
2019-7-22,1.11245
2019-7-23,1.1159
2019-7-24,1.1218
2019-7-25,1.11787
2019-7-26,1.11384
2019-7-29,1.09819
2019-7-30,1.0897
2019-7-31,1.09793
2019-8-1,1.0979
2019-8-2,1.09179
2019-8-5,1.08645
2019-8-6,1.08512
2019-8-7,1.08206
2019-8-8,1.08278
2019-8-9,1.0769
2019-8-12,1.07653
2019-8-13,1.07915
2019-8-14,1.08291
2019-8-15,1.09058
2019-8-16,1.09566
2019-8-19,1.09391
2019-8-20,1.09565
2019-8-21,1.09407
2019-8-22,1.1047
2019-8-23,1.09984
2019-8-26,1.10079
2019-8-27,1.10763
2019-8-28,1.10502
2019-8-29,1.1029
2019-8-30,1.10711
2019-9-2,0
2019-9-3,1.10193
2019-9-4,1.10567
2019-9-5,1.11768
2019-9-6,1.11384
2019-9-9,1.11867
2019-9-10,1.11891
2019-9-11,1.12072
2019-9-12,1.11586
2019-9-13,1.12534
2019-9-16,1.12875
2019-9-17,1.12926
2019-9-18,1.12811
2019-9-19,1.12991
2019-9-20,1.13495
2019-9-23,1.13074
2019-9-24,1.13419
2019-9-25,1.12914
2019-9-26,1.12845
2019-9-27,1.12521
2019-9-30,1.12838
2019-10-1,1.11983
2019-10-2,1.12437
2019-10-3,1.12729
2019-10-4,1.12165
2019-10-7,1.12181
2019-10-8,1.11481
2019-10-9,1.11268
2019-10-10,1.1238
2019-10-11,1.14893
2019-10-14,0
2019-10-15,1.15413
2019-10-16,1.16063
2019-10-17,1.15491
2019-10-18,1.15679
2019-10-21,1.16492
2019-10-22,1.16251
2019-10-23,1.15902
2019-10-24,1.15426
2019-10-25,1.15811
2019-10-28,1.15919
2019-10-29,1.16083
2019-10-30,1.15724
2019-10-31,1.15993
2019-11-1,1.15946
2019-11-2,1.15525
2019-11-3,1.15721
2019-11-4,1.15849
2019-11-5,1.15827
2019-11-6,1.16307
2019-11-7,1.16136
